"Row.names","Connectivity","PValue","pert_id","pert_iname","pert_type","cell_id","pert_idose","pert_itime","distil_id"
"CPC006_PL21_6H:BRD-K76964878-001-01-8:24"," 0.14601","0.9928200","BRD-K76964878","EX-527","trt_cp","PL21","20 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:J10|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:J10"
"CPC006_PL21_6H:BRD-K74148702-001-03-8:48"," 0.15560","1.0000000","BRD-K74148702","curcumin","trt_cp","PL21","50 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:P08|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:P08"
"CPC006_PL21_6H:BRD-K40758391-001-02-3:40"," 0.17525","0.9710100","BRD-K40758391","BRD-K40758391","trt_cp","PL21","40 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:D07|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:D07"
"CPC006_PL21_6H:BRD-K70792160-003-02-0:24"," 0.18005","0.9822800","BRD-K70792160","10-DEBC","trt_cp","PL21","20 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:P06|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:P06"
"CPC006_PL21_6H:BRD-K64634304-001-01-5:40"," 0.18250","0.9465900","BRD-K64634304","tretinoin","trt_cp","PL21","40 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:D23|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:D23"
"CPC006_PL21_6H:BRD-K86682249-001-05-7:10"," 0.18737","0.9583300","BRD-K86682249","BRD-K86682249","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:A10|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:A10"
"CPC006_PL21_6H:BRD-K68143200-001-05-9:10"," 0.19037","0.9686200","BRD-K68143200","NSC-95397","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:J01|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:J01"
"CPC006_PL21_6H:BRD-K91623615-001-01-9:10"," 0.19358","0.9740600","BRD-K91623615","ABT-751","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:L05|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:L05"
"CPC006_PL21_6H:BRD-K41260949-236-02-8:10"," 0.19409","0.8688500","BRD-K41260949","valproic-acid","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:A14|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:A14"
"CPC006_PL21_6H:BRD-A47829399-001-01-1:10"," 0.19559","0.9550600","BRD-A47829399","artesunate","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:G20|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:G20"
"CPC006_PL21_6H:BRD-K76703230-001-01-3:0.31"," 0.19680","0.9531000","BRD-K76703230","YM-155","trt_cp","PL21","500 nM","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:J09|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:J09"
"CPC006_PL21_6H:BRD-K04623885-001-03-4:80"," 0.20197","0.9291800","BRD-K04623885","BIBR-1532","trt_cp","PL21","80 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:O20|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:O20"
"CPC006_PL21_6H:BRD-K93176058-001-02-8:10"," 0.20354","0.9034300","BRD-K93176058","AC-55649","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:B09|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:B09"
"CPC006_PL21_6H:BRD-K68336408-001-04-2:56.78"," 0.20466","0.9509800","BRD-K68336408","tyrphostin-AG-1478","trt_cp","PL21","60 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:F16|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:F16"
"CPC006_PL21_6H:BRD-K20285085-001-01-4:10"," 0.20818","0.9232600","BRD-K20285085","fostamatinib","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:P07|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:P07"
"CPC006_PL21_6H:BRD-A52650764-001-01-0:10"," 0.21119","0.9483900","BRD-A52650764","ingenol","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:I05|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:I05"
"CPC006_PL21_6H:BRD-K98404142-001-01-9:11.1"," 0.22352","0.9193300","BRD-K98404142","BRD-K98404142","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:L15|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:L15"
"CPC006_PL21_6H:BRD-K19894101-001-01-6:11.1"," 0.22821","0.9070400","BRD-K19894101","MST-312","trt_cp","PL21","10 <U+788C>M","6 h","CPC006_PL21_6H_X1_F1B4_DUO52HI53LO:I10|CPC006_PL21_6H_X2_F1B4_DUO52HI53LO:I10"
