Regulator	Target	MI	pvalue
9905	2648	0.6883904701993342	0.0
2908	3628	0.622568295330561	3.775178474418883E-4
7572	286257	0.6556185824163726	1.3368398610325016E-8
2908	3638	0.6665540278737008	0.0425768737026786
8848	665	0.6119239817754432	3.775178474418883E-4
11179	1738	0.6604974761806214	0.0
11179	1781	0.577224926303972	7.639084920185724E-10
81931	202134	0.6213307168566571	0.004158358029649367
10379	4599	0.7505836439439949	2.5472528666359295E-6
9905	2553	0.5881259584313486	0.0425768737026786
8848	571	0.6481537083181903	3.201502294625236E-5
8848	586	0.6218905671119256	0.0425768737026786
8848	521	0.5537813536885342	0.004158358029649367
8848	526	0.6331370990326428	3.775178474418883E-4
2908	3720	0.6685311947636329	2.5472528666359295E-6
2908	3799	0.5872736539199609	3.775178474418883E-4
374928	145482	0.6718813924438579	0.0
11179	1654	0.603132877602094	0.004158358029649367
162966	4893	0.4974243977304646	0.0425768737026786
84146	84129	0.5778724638796936	0.004158358029649367
7629	65123	0.5965981417945734	0.0425768737026786
604	29074	0.581671659367842	0.0
7716	79887	0.5428406772297476	1.3368398610325016E-8
2355	57158	0.5814212178589133	0.0425768737026786
2908	3843	0.6482227488003256	3.775178474418883E-4
54897	5430	0.5876000855370717	0.0425768737026786
1874	29078	0.5607694971605852	0.004158358029649367
5970	374291	0.6188748385420871	0.0
57645	642031	0.5893053937891884	0.0425768737026786
132660	56834	0.5545178659999799	0.0425768737026786
57109	64926	0.6234012805919263	0.0425768737026786
4149	51398	0.5456830877216384	0.004158358029649367
3159	100131500	0.6005099464393804	0.0
860	3683	0.6031898479191833	3.201502294625236E-5
5970	11011	0.6365666091618977	0.0
4205	29969	0.5784195242065603	0.0425768737026786
860	3608	0.568078805096209	3.201502294625236E-5
7704	2872	0.6769813342729726	0.0425768737026786
344787	8396	0.6490108401013406	3.775178474418883E-4
7561	55033	0.6658247048379444	0.0
8930	100131100	0.7251463663433966	3.775178474418883E-4
860	3557	0.6647093296079917	0.0
5970	11193	0.6562025328918363	0.0
5970	11120	0.5583702408357404	2.5472528666359295E-6
5970	11151	0.6739211652725412	0.0
10379	4938	0.7211839230464917	3.201502294625236E-5
10379	4940	0.7663825817815191	0.0425768737026786
2114	125476	0.5263415799032376	0.0425768737026786
7704	2885	0.6111099619969395	0.004158358029649367
57109	64343	0.6214928141358649	0.0425768737026786
8848	905	0.639576794302834	3.775178474418883E-4
860	3895	0.5969369631520011	3.201502294625236E-5
7050	79792	0.6514482938245377	3.201502294625236E-5
5970	11253	0.6269170059783427	0.0
860	3840	0.6769694808446173	3.775178474418883E-4
4790	27020	0.7426888467522896	3.775178474418883E-4
